STATION_ID,DURATION,SENSOR_NUMBER,SENSOR_TYPE,DATE TIME,OBS DATE,VALUE,DATA_FLAG,UNITS
FOL,D,23,OUTFLOW,19870914 0000,19870913 0100,2142,,CFS
FOL,D,23,OUTFLOW,19870915 0000,19870914 0100,2013,,CFS
FOL,D,23,OUTFLOW,19870916 0000,19870915 0100,1784,,CFS
FOL,D,23,OUTFLOW,19870917 0000,19870916 0100,1786,,CFS
FOL,D,23,OUTFLOW,19870919 0000,19870919 0000,999,,CFS
FOL,D,23,OUTFLOW,19870920 0000,19870919 0100,999,,CFS
FOL,D,23,OUTFLOW,19870921 0000,19870920 0100,2194,,CFS
FOL,D,23,OUTFLOW,19870922 0000,19870921 0100,2670,,CFS
FOL,D,23,OUTFLOW,19870923 0000,19870922 0100,3760,,CFS
FOL,D,23,OUTFLOW,19870924 0000,19870923 0100,3742,,CFS
FOL,D,23,OUTFLOW,19870926 0000,19870926 0000,3544,,CFS
FOL,D,23,OUTFLOW,19870927 0000,19870926 0100,3544,,CFS
FOL,D,23,OUTFLOW,19870928 0000,19870927 0100,3733,,CFS
FOL,D,23,OUTFLOW,19870929 0000,19870928 0100,3398,,CFS
FOL,D,23,OUTFLOW,19870930 0000,19870929 0100,3181,,CFS
FOL,D,23,OUTFLOW,19871001 0000,19870930 0100,3198,,CFS
FOL,D,23,OUTFLOW,19871003 0000,19871003 0000,3191,,CFS
FOL,D,23,OUTFLOW,19871004 0000,19871003 0100,3191,,CFS
FOL,D,23,OUTFLOW,19871005 0000,19871004 0100,3275,,CFS
FOL,D,23,OUTFLOW,19871006 0000,19871005 0100,3003,,CFS
FOL,D,23,OUTFLOW,19871007 0000,19871006 0100,3238,,CFS
FOL,D,23,OUTFLOW,19871008 0000,19871007 0100,3206,,CFS
FOL,D,23,OUTFLOW,19871011 0000,19871011 0000,3166,,CFS
FOL,D,23,OUTFLOW,19871012 0000,19871011 0100,3166,,CFS
FOL,D,23,OUTFLOW,19871013 0000,19871012 0100,3143,,CFS
FOL,D,23,OUTFLOW,19871014 0000,19871013 0100,2205,,CFS
FOL,D,23,OUTFLOW,19871015 0000,19871014 0100,1711,,CFS
FOL,D,23,OUTFLOW,19871016 0000,19871016 0000,2630,,CFS
FOL,D,23,OUTFLOW,19871017 0000,19871016 0100,2630,,CFS
FOL,D,23,OUTFLOW,19871018 0000,19871017 0100,2643,,CFS
FOL,D,23,OUTFLOW,19871019 0000,19871018 0100,2701,,CFS
FOL,D,23,OUTFLOW,19871020 0000,19871019 0100,2550,,CFS
FOL,D,23,OUTFLOW,19871021 0000,19871020 0100,2111,,CFS
FOL,D,23,OUTFLOW,19871022 0000,19871021 0100,2204,,CFS
FOL,D,23,OUTFLOW,19871024 0000,19871024 0000,1319,,CFS
FOL,D,23,OUTFLOW,19871025 0000,19871025 0100,1335,,CFS
FOL,D,23,OUTFLOW,19871026 0000,19871026 0100,1457,,CFS
FOL,D,23,OUTFLOW,19871027 0000,19871027 0100,1289,,CFS
FOL,D,23,OUTFLOW,19871028 0000,19871028 0100,1305,,CFS
FOL,D,23,OUTFLOW,19871031 0000,19871031 0100,2609,,CFS
FOL,D,23,OUTFLOW,19871101 0000,19871101 0100,1350,,CFS
FOL,D,23,OUTFLOW,19871102 0000,19871102 0100,1429,,CFS
FOL,D,23,OUTFLOW,19871103 0000,19871103 0100,1406,,CFS
FOL,D,23,OUTFLOW,19871104 0000,19871104 0100,1354,,CFS
FOL,D,23,OUTFLOW,19871107 0000,19871107 0100,1364,,CFS
FOL,D,23,OUTFLOW,19871108 0000,19871108 0100,1436,,CFS
FOL,D,23,OUTFLOW,19871110 0000,19871110 0100,1347,,CFS
FOL,D,23,OUTFLOW,19871111 0000,19871111 0100,1343,,CFS
FOL,D,23,OUTFLOW,19871114 0000,19871114 0100,1295,,CFS
FOL,D,23,OUTFLOW,19871115 0000,19871115 0100,888,,CFS
FOL,D,23,OUTFLOW,19871116 0000,19871116 0100,1071,,CFS
FOL,D,23,OUTFLOW,19871117 0000,19871117 0100,1161,,CFS
FOL,D,23,OUTFLOW,19871118 0000,19871118 0100,1088,,CFS
FOL,D,23,OUTFLOW,19871121 0000,19871121 0100,1047,,CFS
FOL,D,23,OUTFLOW,19871122 0000,19871122 0100,1068,,CFS
FOL,D,23,OUTFLOW,19871123 0000,19871123 0100,1079,,CFS
FOL,D,23,OUTFLOW,19871128 0000,19871128 0100,1052,,CFS
FOL,D,23,OUTFLOW,19871129 0000,19871129 0100,1099,,CFS
FOL,D,23,OUTFLOW,19871130 0000,19871130 0100,1098,,CFS
FOL,D,23,OUTFLOW,19871201 0000,19871201 0100,1085,,CFS
FOL,D,23,OUTFLOW,19871202 0000,19871202 0100,971,,CFS
FOL,D,23,OUTFLOW,19871204 0000,19871204 0100,1044,,CFS
FOL,D,23,OUTFLOW,19871205 0000,19871205 0100,1030,,CFS
FOL,D,23,OUTFLOW,19871206 0000,19871206 0100,1155,,CFS
FOL,D,23,OUTFLOW,19871207 0000,19871207 0100,1249,,CFS
FOL,D,23,OUTFLOW,19871208 0000,19871208 0100,1067,,CFS
FOL,D,23,OUTFLOW,19871209 0000,19871209 0100,1059,,CFS
FOL,D,23,OUTFLOW,19871212 0000,19871212 0100,1075,,CFS
FOL,D,23,OUTFLOW,19871213 0000,19871213 0100,1056,,CFS
FOL,D,23,OUTFLOW,19871214 0000,19871214 0100,1087,,CFS
FOL,D,23,OUTFLOW,19871215 0000,19871215 0100,1105,,CFS
FOL,D,23,OUTFLOW,19871216 0000,19871216 0100,1108,,CFS
FOL,D,23,OUTFLOW,19871219 0000,19871219 0100,1097,,CFS
FOL,D,23,OUTFLOW,19871220 0000,19871220 0100,1034,,CFS
FOL,D,23,OUTFLOW,19871221 0000,19871221 0100,1108,,CFS
FOL,D,23,OUTFLOW,19871222 0000,19871222 0100,1040,,CFS
FOL,D,23,OUTFLOW,19871227 0000,19871227 0100,1095,,CFS
FOL,D,23,OUTFLOW,19871228 0000,19871228 0100,1082,,CFS
FOL,D,23,OUTFLOW,19871229 0000,19871229 0100,1047,,CFS
FOL,D,23,OUTFLOW,19871230 0000,19871230 0100,1057,,CFS
FOL,D,23,OUTFLOW,19880103 0000,19880103 0100,1109,,CFS
FOL,D,23,OUTFLOW,19880104 0000,19880104 0100,1072,,CFS
FOL,D,23,OUTFLOW,19880107 0000,19880107 0100,1159,,CFS
FOL,D,23,OUTFLOW,19880110 0000,19880110 0100,1019,,CFS
FOL,D,23,OUTFLOW,19880111 0000,19880111 0100,1026,,CFS
FOL,D,23,OUTFLOW,19880112 0000,19880112 0100,1088,,CFS
FOL,D,23,OUTFLOW,19880113 0000,19880113 0100,1142,,CFS
FOL,D,23,OUTFLOW,19880114 0000,19880114 0100,1063,,CFS
FOL,D,23,OUTFLOW,19880115 0000,19880115 0100,1056,,CFS
FOL,D,23,OUTFLOW,19880117 0000,19880117 0100,647,,CFS
FOL,D,23,OUTFLOW,19880118 0000,19880118 0100,834,,CFS
FOL,D,23,OUTFLOW,19880119 0000,19880119 0100,981,,CFS
FOL,D,23,OUTFLOW,19880120 0000,19880120 0100,1022,,CFS
FOL,D,23,OUTFLOW,19880121 0000,19880121 0100,1091,,CFS
FOL,D,23,OUTFLOW,19880122 0000,19880122 0100,1041,,CFS
FOL,D,23,OUTFLOW,19880123 0000,19880123 0100,1057,,CFS
FOL,D,23,OUTFLOW,19880124 0000,19880124 0100,1001,,CFS
FOL,D,23,OUTFLOW,19880125 0000,19880125 0100,1013,,CFS
FOL,D,23,OUTFLOW,19880126 0000,19880126 0100,1154,,CFS
FOL,D,23,OUTFLOW,19880127 0000,19880127 0100,1152,,CFS
FOL,D,23,OUTFLOW,19880128 0000,19880128 0100,1079,,CFS
FOL,D,23,OUTFLOW,19880131 0000,19880131 0100,1158,,CFS
FOL,D,23,OUTFLOW,19880201 0000,19880201 0100,1188,,CFS
FOL,D,23,OUTFLOW,19880202 0000,19880202 0100,1007,,CFS
FOL,D,23,OUTFLOW,19880203 0000,19880203 0100,3200,,CFS
FOL,D,23,OUTFLOW,19880204 0000,19880204 0100,1081,,CFS
FOL,D,23,OUTFLOW,19880205 0000,19880205 0100,1119,,CFS
FOL,D,23,OUTFLOW,19880206 0000,19880206 0100,1130,,CFS
FOL,D,23,OUTFLOW,19880207 0000,19880207 0100,980,,CFS
FOL,D,23,OUTFLOW,19880208 0000,19880208 0100,1174,,CFS
FOL,D,23,OUTFLOW,19880209 0000,19880209 0100,1049,,CFS
FOL,D,23,OUTFLOW,19880210 0000,19880210 0100,1109,,CFS
FOL,D,23,OUTFLOW,19880211 0000,19880211 0100,1116,,CFS
FOL,D,23,OUTFLOW,19880212 0000,19880212 0100,1140,,CFS
FOL,D,23,OUTFLOW,19880213 0000,19880213 0100,1217,,CFS
FOL,D,23,OUTFLOW,19880215 0000,19880215 0100,1131,,CFS
FOL,D,23,OUTFLOW,19880216 0000,19880216 0100,1211,,CFS
FOL,D,23,OUTFLOW,19880217 0000,19880217 0100,1138,,CFS
FOL,D,23,OUTFLOW,19880218 0000,19880218 0100,1156,,CFS
FOL,D,23,OUTFLOW,19880221 0000,19880221 0100,1240,,CFS
FOL,D,23,OUTFLOW,19880222 0000,19880222 0100,1137,,CFS
FOL,D,23,OUTFLOW,19880223 0000,19880223 0100,1135,,CFS
FOL,D,23,OUTFLOW,19880224 0000,19880224 0100,965,,CFS
FOL,D,23,OUTFLOW,19880225 0000,19880225 0100,1123,,CFS
FOL,D,23,OUTFLOW,19880228 0000,19880228 0100,1176,,CFS
FOL,D,23,OUTFLOW,19880229 0000,19880229 0100,1159,,CFS
FOL,D,23,OUTFLOW,19880301 0000,19880301 0100,1081,,CFS
FOL,D,23,OUTFLOW,19880302 0000,19880302 0100,1030,,CFS
FOL,D,23,OUTFLOW,19880303 0000,19880303 0100,1004,,CFS
FOL,D,23,OUTFLOW,19880306 0000,19880306 0100,993,,CFS
FOL,D,23,OUTFLOW,19880307 0000,19880307 0100,1045,,CFS
FOL,D,23,OUTFLOW,19880308 0000,19880308 0100,1094,,CFS
FOL,D,23,OUTFLOW,19880313 0000,19880313 0100,1192,,CFS
FOL,D,23,OUTFLOW,19880314 0000,19880314 0100,1113,,CFS
FOL,D,23,OUTFLOW,19880315 0000,19880315 0100,1194,,CFS
FOL,D,23,OUTFLOW,19880316 0000,19880316 0100,1156,,CFS
FOL,D,23,OUTFLOW,19880317 0000,19880317 0100,998,,CFS
FOL,D,23,OUTFLOW,19880320 0000,19880320 0100,1158,,CFS
FOL,D,23,OUTFLOW,19880321 0000,19880321 0100,1167,,CFS
FOL,D,23,OUTFLOW,19880322 0000,19880322 0100,1158,,CFS
FOL,D,23,OUTFLOW,19880323 0000,19880323 0100,1146,,CFS
FOL,D,23,OUTFLOW,19880324 0000,19880324 0100,1082,,CFS
FOL,D,23,OUTFLOW,19880327 0000,19880327 0100,1223,,CFS
FOL,D,23,OUTFLOW,19880328 0000,19880328 0100,1177,,CFS
FOL,D,23,OUTFLOW,19880329 0000,19880329 0100,1128,,CFS
FOL,D,23,OUTFLOW,19880330 0000,19880330 0100,1735,,CFS
FOL,D,23,OUTFLOW,19880331 0000,19880331 0100,1586,,CFS
FOL,D,23,OUTFLOW,19880403 0000,19880403 0000,1771,,CFS
FOL,D,23,OUTFLOW,19880404 0000,19880403 0100,1771,,CFS
FOL,D,23,OUTFLOW,19880405 0000,19880404 0100,1688,,CFS
FOL,D,23,OUTFLOW,19880406 0000,19880405 0100,1706,,CFS
FOL,D,23,OUTFLOW,19880407 0000,19880406 0100,1180,,CFS
FOL,D,23,OUTFLOW,19880408 0000,19880407 0100,1183,,CFS
FOL,D,23,OUTFLOW,19880410 0000,19880410 0000,1268,,CFS
FOL,D,23,OUTFLOW,19880411 0000,19880410 0100,1268,,CFS
FOL,D,23,OUTFLOW,19880412 0000,19880411 0100,1151,,CFS
FOL,D,23,OUTFLOW,19880413 0000,19880412 0100,1152,,CFS
FOL,D,23,OUTFLOW,19880414 0000,19880413 0100,1181,,CFS
FOL,D,23,OUTFLOW,19880415 0000,19880414 0100,1142,,CFS
FOL,D,23,OUTFLOW,19880417 0000,19880417 0000,1067,,CFS
FOL,D,23,OUTFLOW,19880418 0000,19880417 0100,1067,,CFS
FOL,D,23,OUTFLOW,19880419 0000,19880418 0100,1246,,CFS
FOL,D,23,OUTFLOW,19880420 0000,19880419 0100,1170,,CFS
FOL,D,23,OUTFLOW,19880421 0000,19880420 0100,961,,CFS
FOL,D,23,OUTFLOW,19880422 0000,19880421 0100,816,,CFS
FOL,D,23,OUTFLOW,19880424 0000,19880424 0000,1144,,CFS
FOL,D,23,OUTFLOW,19880425 0000,19880424 0100,1144,,CFS
